hr,rmssd,pnn50,sdnn,spo2,stress_label
60.22420570623141,9.145434487958433,20.8777925497553,73.7021059802611,99.03762990294987,0
93.13823497372691,15.760053585004162,0.0,35.15294321624467,95.74857728494807,1
114.20916080056547,22.564057666836128,2.6774067897841958,23.886147526113717,96.86058369007962,1
63.083984623826005,61.75250663294931,26.864161697440462,49.02552391637208,100.0,0
65.39446665216178,56.532595139533456,18.91773492555241,65.44673441616786,98.8111099911432,0
49.882805663230776,75.2291266569096,37.906444609225474,54.04207025781019,97.39773025954415,0
67.78049291042842,46.300465491215945,28.556689485632294,62.87366094291134,99.00624098930592,0
105.36766839270167,22.54482564102917,0.8013780043602354,43.62562852712452,99.46092184523243,1
125.82468081414501,9.012047734083216,5.9715280526011,10.0,97.82972373456882,1
81.42159642199873,33.38756635859963,1.9015401199256723,13.108169620327384,96.29310438894622,1
49.1960978302629,56.26649181760965,4.349169537436794,60.42686371774738,96.4221881801438,0
84.15642634556029,31.14702524643627,6.44259156574318,21.36506395035066,96.95319476659138,1
88.21620246453335,21.781042766747245,0.0,35.92567273847331,92.94341255259583,1
59.96092358108952,37.67589236322683,31.333268260712384,60.339462790153036,97.09443694614372,0
57.12005499346388,47.98020014321111,24.209326581354436,51.313138355463806,98.01916621048802,0
70.56934397727431,37.23461140696178,24.119087559709268,92.54904882120815,97.07631736311608,0
50.185258147402735,56.7538449719791,18.213569387058968,55.226437083860695,97.71884362186888,0
62.9215988738599,68.97807168144512,33.021284586181196,72.93335267830466,97.08377294420735,0
55.790770107577046,5.0,16.90619178917246,74.35054779578488,99.01694651574837,0
63.22789389638301,44.665495744229204,18.111144574245944,63.07138323602676,99.26587827948062,0
68.60935855107432,20.397181502698785,8.729739483818669,25.848997110366305,98.05105091818088,1
87.51723555578042,43.43485810519662,28.933070500053237,48.92914374507913,98.68125116260205,0
68.68217299985844,47.92263510405207,14.803046802911432,63.09542656988176,99.96219593871764,0
68.58908611611622,59.429807836077615,22.629880299873722,71.24850359135566,98.77926783821653,0
57.392714162502145,49.77781507198311,15.083033365596895,50.50679587672812,98.68932830729237,0
91.56693128056149,8.486140279382967,9.215943084731505,35.72006278300473,95.94290734658368,1
52.699321628406594,42.82643131377853,20.5405628613884,61.69710685579534,98.13688333884443,0
48.94034511403992,39.17479592548263,21.94380888931687,69.50491537161088,97.80180032538895,0
78.42939738698053,16.325391740223644,38.111674978026244,56.63521543682843,99.35958487234356,0
65.63841187246986,62.093333040382035,21.126380354471888,43.520693622332814,99.92050428727106,0
86.6382322494143,19.772467788993684,9.93900765617918,19.680447579055652,97.89323634645889,1
60.280841948296874,43.01745966533442,25.722789653842888,37.49667207829596,97.72116295717956,0
75.80858313930511,58.29286782877193,24.37360422672765,63.64685187769339,98.20575749436354,0
104.27900062993578,16.39717937764669,5.927368368539392,41.460301441420654,95.83394277273113,1
106.70547021396273,5.756308722052985,11.518568524451194,26.273244160480253,96.63595187826208,1
65.31987794580468,14.361642260978456,0.840773875892463,23.923536546265275,96.79403355131669,1
72.66233291578324,48.11405027100939,28.07676653401114,43.56720916731656,97.61924591039727,0
79.3898001468105,33.9719844785513,41.56208252057296,56.354082016787004,98.5022879361435,0
100.84438192275915,28.175139375509254,4.55674975888365,26.117569464784612,96.91611932721668,1
67.70366022585695,58.36955530304633,25.042298589941517,69.2832944703473,100.0,0
68.05047689811828,49.674792840071675,9.810891749099323,20.53904794756405,98.88837572923016,0
64.24140614975302,37.278259876278874,27.435302041863444,59.093944062046376,99.6277802506339,0
65.68888694607182,33.796150723947484,34.901662389592886,56.743033875806965,99.0265366836723,0
82.2710715256864,12.80138491602051,5.336672920742784,30.128286435436852,97.71974055305024,1
62.85083397352206,17.45460324344404,20.672261164116115,71.90727700715723,98.20262392075689,0
85.04339916982542,25.891012047247496,2.152107090964309,14.571967817571004,96.75905332071176,1
61.126608390010105,30.50630520370119,23.246215441013092,67.37258470870175,98.49071143843219,0
67.4558485814899,72.20111547773135,21.57121138442436,64.17522951967004,97.99078663740086,0
58.22912224090422,36.22638519873345,20.212414284783115,65.39213696320688,100.0,0
59.27165250979328,38.75062041576806,24.36876986888752,65.9369827306462,98.76355081195479,0
103.40914952737741,5.0,0.0,25.04121827989851,98.64595028131556,1
69.21222362073284,5.0,7.284717624876835,32.43657223702714,95.36468738980085,1
